epoch,step,train/loss,val/auroc_bbb,val/auroc_cyp3a4,val/auroc_herg,val/cls_loss,val/mae_caco2,val/mae_clearance,val/mse_caco2,val/mse_clearance,val/reg_loss,val/rmse_caco2,val/rmse_clearance
26,9314,,0.8954081535339355,0.9270830154418945,0.8402568101882935,0.5998407006263733,0.4686717689037323,0.9227361679077148,0.3406917154788971,1.3983262777328491,0.9344421625137329,0.5836880207061768,1.1825084686279297
27,9349,0.6878935098648071,,,,,,,,,,,
27,9399,0.6818360686302185,,,,,,,,,,,
27,9449,0.6814339756965637,,,,,,,,,,,
27,9499,0.7019604444503784,,,,,,,,,,,
27,9549,0.6655511856079102,,,,,,,,,,,
27,9599,0.6438500285148621,,,,,,,,,,,
27,9649,0.6591992378234863,,,,,,,,,,,
27,9659,,0.8863229751586914,0.9246264696121216,0.8373078107833862,0.6063543558120728,0.4244253933429718,0.9092997312545776,0.2647514343261719,1.4169634580612183,0.9141761064529419,0.5145400166511536,1.1903626918792725
28,9699,0.6720110177993774,,,,,,,,,,,
28,9749,0.6785358190536499,,,,,,,,,,,
28,9799,0.67781001329422,,,,,,,,,,,
28,9849,0.6947159171104431,,,,,,,,,,,
28,9899,0.7095828652381897,,,,,,,,,,,
28,9949,0.7205179333686829,,,,,,,,,,,
28,9999,0.7173098921775818,,,,,,,,,,,
28,10004,,0.8807733058929443,0.925416886806488,0.8363551497459412,0.6026582717895508,0.4649013876914978,0.9162470102310181,0.32074227929115295,1.3881078958511353,0.9188057780265808,0.5663411617279053,1.1781799793243408
29,10049,0.6870517730712891,,,,,,,,,,,
29,10099,0.6955388188362122,,,,,,,,,,,
29,10149,0.7054104208946228,,,,,,,,,,,
29,10199,0.6948815584182739,,,,,,,,,,,
29,10249,0.7048739790916443,,,,,,,,,,,
29,10299,0.7715091109275818,,,,,,,,,,,
29,10349,0.722252368927002,,,,,,,,,,,
29,10349,,0.8757607936859131,0.9260904788970947,0.8402752876281738,0.6038979887962341,0.45234090089797974,0.9160205721855164,0.29532676935195923,1.4329986572265625,0.9384843707084656,0.5434397459030151,1.1970791816711426
30,10399,0.685444712638855,,,,,,,,,,,
30,10449,0.7082720398902893,,,,,,,,,,,
30,10499,0.6663668155670166,,,,,,,,,,,
30,10549,0.6480245590209961,,,,,,,,,,,
30,10599,0.6933765411376953,,,,,,,,,,,
30,10649,0.7424877285957336,,,,,,,,,,,
30,10694,,0.8809524178504944,0.9278891086578369,0.8339679837226868,0.6045385003089905,0.4554305374622345,0.9163650274276733,0.3060203194618225,1.3693267107009888,0.9065176844596863,0.5531910061836243,1.1701823472976685
31,10699,0.6879596710205078,,,,,,,,,,,
